Deficiente;;1;2;3;4;27;28;29;30;31;32;33;34;35;17;36;37;38;39;40;41;42;52;53;51;54;55;12;43;44;45;46;47;48;25;26
;VIA;P.I.;CRECHE;CAISM;PORT. F1 (HC);REITORIA;CENTRAL INFORM.;ZOOL.;SIARQ;RU;GINÁSIO;IEL;CEL;COMVEST FUNCAMP;ADUNICAMP;PAV. IC PAV. IA;IE IMECC;IFGW FE;IQ FEA;CRECHE FEA;FEA PÇA. PAZ;FEQ FEM;VIGILÂNCIA;IC / NEPO;MUSEU DE CIÊNCIAS;NEPO / NEPP;FEC;CCUEC;CCUEC;EMBRAPA FEAGRI;FEAGRI CEBMEG;FEAGRI GENÉTICA;CEMEQ;DGA;CAISM;FCM
;FEC;09:45;09:46;09:48;09:50;09:51;09:51;09:52;09:53;09:54;09:55;09:56;09:57;09:58;09:59;10:00;10:01;10:01;10:02;10:03;10:04;10:05;10:06;10:06;-;10:07;10:07;10:08;10:08;10:12;10:12;10:12;10:13;10:14;10:15;10:16
;Museu;10:00;10:01;10:03;10:04;10:04;10:05;10:05;10:06;10:06;10:07;10:08;10:09;10:10;10:11;10:12;10:13;10:14;10:15;10:16;10:17;10:18;10:18;10:19;10:23;10:25;10:26;10:26;10:27;10:27;10:28;10:28;10:29;10:30;10:31;10:32
;FEC;10:20;10:21;10:22;10:24;10:25;10:25;10:26;10:28;10:28;10:29;10:29;10:30;10:30;10:31;10:32;10:33;10:34;10:35;10:35;10:35;10:36;10:36;10:37;-;10:37;10:38;10:39;10:40;10:41;10:42;10:43;10:44;10:45;10:46;10:48
;Museu;10:35;10:36;10:37;10:38;10:39;10:39;10:40;10:40;10:42;10:42;10:42;10:43;10:44;10:44;10:45;10:46;10:47;10:48;10:49;10:48;10:48;10:49;10:49;10:52;10:55;10:56;10:56;10:57;10:57;10:58;10:58;10:59;10:59;11:00;11:01
;FEC;10:55;10:56;10:58;10:59;11:01;11:02;11:02;11:03;11:04;11:05;11:05;11:06;11:06;11:06;11:07;11:08;11:09;11:08;11:09;11:09;11:10;11:11;11:12;-;11:12;11:13;11:13;11:13;11:14;11:15;11:15;11:16;11:17;11:18;11:19
;;11:05;11:06;11:07;11:08;11:09;11:10;11:10;11:11;11:12;11:13;11:14;11:15;11:15;11:16;11:17;11:18;11:19;11:21;11:21;11:22;11:23;-;-;-;-;-;-;11:24;11:25;11:26;11:26;11:27;11:28;11:29;11:30
;Museu;11:20;11:21;11:22;11:23;11:25;11:25;11:26;11:27;11:27;11:28;11:29;11:29;11:30;11:31;11:31;11:32;11:32;11:33;11:34;11:35;11:36;11:37;11:38;11:41;11:44;11:45;11:45;11:46;11:46;11:47;11:48;11:49;11:50;11:52;11:53
;;11:35;11:35;11:37;11:38;11:39;11:39;11:40;11:41;11:42;11:42;11:43;11:44;11:44;11:45;11:46;11:47;11:48;11:50;11:50;11:51;11:52;-;-;-;-;-;-;11:53;11:53;11:54;11:55;11:56;11:57;11:58;11:58
;FEC;11:50;11:50;11:52;11:53;11:55;11:56;11:57;11:58;11:59;12:00;12:01;12:01;12:02;12:02;12:04;12:05;12:06;12:06;12:07;12:07;12:08;12:09;12:09;-;12:10;12:11;12:12;12:13;12:14;12:15;12:16;12:17;12:18;12:19;12:20
;Museu;12:00;12:01;12:03;12:04;12:05;12:06;12:06;12:07;12:08;12:08;12:09;12:09;12:10;12:10;12:11;12:12;12:13;12:14;12:15;12:16;12:16;12:17;12:17;12:20;12:24;12:24;12:25;12:25;12:26;12:26;12:27;12:28;12:29;12:30;12:31
